Location,15-19,20-24,25-29,30-34,35-39,40-44,45-49
Sub-SaharanAfrica,104.4,210.8,222.8,186.3,135.9,63.8,21
EasternAfrica,93.7,206,214.1,174.2,121.2,58.4,19.4
Burundi,55.6,210.4,245.2,234.4,199.5,115.5,29.4
Comoros,65.4,172.8,193.8,208.2,122.8,56.5,27.9
Djibouti,18.8,63.5,121.4,157,127.7,49.8,13.3
Eritrea,52.6,184.9,210.7,191.2,119.4,50.1,11.1
Ethiopia,66.7,192.5,211.2,180.5,123.3,60.3,25.5
Kenya,75.1,176.5,179.8,129.6,85.8,34.8,22.4
Madagascar,109.6,206.1,212,149.5,92.5,42.2,9.8
Malawi,132.7,209.7,186,154.2,104.9,47.9,14.7
Mauritius,25.7,61.5,86.4,67.3,29.6,6.7,0.5
Mayotte,55.8,166.3,170.7,162.5,120.4,56.7,13.4
Mozambique,148.6,221.7,209,177,128.1,70.5,22.4
Réunion,46.7,100.9,126.8,111,53.8,15.1,0.6
Rwanda,39.1,166.9,212.9,186.1,135.8,67.6,11.7
Seychelles,62,120,145.3,98.7,52.9,12,1.1
Somalia,100.1,262.7,327.5,241.9,165.2,82.4,44.2
SouthSudan,62,205.7,282.2,198.5,105.9,60.1,32.7
Uganda,118.8,238.6,232.3,189.1,130.5,76.5,16.2
UnitedRepublicofTanzania,118.4,231.4,226,188.3,145.3,64.6,10.8
Zambia,120.1,214.4,205.5,176,142.8,61.1,11.2
Zimbabwe,86.1,184.4,174,149.1,90.3,35.9,5.3
MiddleAfrica,129.5,241.5,256.5,216.9,167.7,76.2,18.1
Angola,150.5,238.5,249.9,222.2,159.2,73.1,16.6
Cameroon,105.8,211.2,210,187.8,138.6,50.5,16.6
CentralAfricanRepublic,129.1,218.3,206.5,175.5,122.5,70.4,28.6
Chad,161.1,258.7,254.9,219.1,166.2,76.7,22.9
Congo,112.2,197.2,194.3,176.9,129,65.9,14.5
DemocraticRepublicoftheCongo,124.2,255.8,285,232.7,189.1,87.6,18.4
EquatorialGuinea,155.6,211,201.4,157.3,108.9,57.5,19.1
Gabon,96.2,155.5,191.7,164.7,125,60.4,6.4
SaoTomeandPrincipe,94.6,217.3,200,162.1,122.8,66.5,6.7
SouthernAfrica,68,125.9,130.4,92.5,57.1,21.1,5
Botswana,46.1,152.1,182.6,114.3,59,22.1,2.8
Eswatini,76.7,171.2,142.2,117.2,68.5,22.7,6.6
Lesotho,92.7,167,138.8,113.5,75.1,41.7,4
Namibia,63.6,163.2,163.5,141.8,103.9,41.3,5.8
SouthAfrica,67.9,120.3,126.5,88.7,54.6,19.7,5
WesternAfrica,111.1,217.6,237.7,209.4,158,75,27.9
Benin,86.1,227.9,267.2,205,119.7,50.7,16.8
BurkinaFaso,104.3,232.8,254.9,211.9,153.6,70.3,18.5
CaboVerde,73.8,116,120,74,46.5,24.8,2.7
Côted'Ivoire,117.6,200.1,208.1,191.8,134.4,64.9,19.1
Gambia,78.2,200.3,248.6,223.2,186.8,82.7,30.2
Ghana,66.6,148,191.4,187.3,122.3,45.3,17.5
Guinea,135.3,190,208.6,187.5,130.5,68.4,27.3
Guinea-Bissau,104.8,177.9,203.1,184.2,140.6,71.2,20.2
Liberia,136,193.4,181.3,171.4,117.7,57.3,12.9
Mali,169.1,243.8,271,223.2,155.6,82.4,39.2
Mauritania,71,168.4,203.6,207.9,165.4,83.1,17.5
Niger,186.5,307.3,298,263.1,200.9,88.4,45.8
Nigeria,107.3,226,245.1,216.8,172.7,83.5,31.9
Senegal,72.7,180.2,220.7,200,152.3,82.1,22
SierraLeone,112.8,198.5,203.5,160.6,114.2,49.4,24.8
Togo,89.1,198.6,227.2,167.1,119.5,56.2,12.6
NorthernAfricaandWesternAsia,40.5,133.9,161.3,129.8,84,30.4,6.7
NorthernAfrica,43.3,151.3,174.2,142.8,95.3,36.1,7.5
Algeria,10.1,91.4,155.4,161.2,126.7,57.1,8.2
Egypt,53.8,204.7,192.2,128.8,66.3,16.3,3.8
Libya,5.8,42.6,103.8,130.1,110.1,48.3,9.4
Morocco,31,94.4,118.4,111.9,80,38.2,10
Sudan,64,168.9,227.9,200.9,148.7,61.2,15.3
Tunisia,7.8,58.4,132.6,124.9,90.1,23.9,2.3
WesternSahara,23.3,83,119.2,116.1,86.6,41.3,13.5
WesternAsia,38,118.3,149.7,118.4,74.3,25.7,6
Armenia,21.5,112,124,62.8,27.1,3.8,0
Azerbaijan,55.8,164.7,113.7,55.8,22.3,3.9,0.4
Bahrain,13.4,92.1,110.4,98.1,60.9,21.2,3.6
Cyprus,4.6,41.1,95.8,86.8,33.4,5,0.7
Georgia,46.4,125.6,121,74.2,34,9.8,1.3
Iraq,71.7,174,196.3,148.1,99.4,41.9,4.9
Israel,9.6,103.1,168.1,182.3,111,31.5,3.3
Jordan,25.9,108.9,160.6,142,89,26.2,1.9
Kuwait,8.2,77,136.7,106.2,66.7,22.8,2.3
Lebanon,14.5,72.7,135.3,122.9,53.8,13.2,5.6
Oman,13.1,100,153.7,149.5,113.6,49.1,7.1
Qatar,9.9,95.9,91.6,91.3,62.4,22.4,2.7
SaudiArabia,7.3,49.1,147,109.8,91.4,42.9,20.4
StateofPalestine,52.8,185.1,192.8,159.2,101.7,39.5,2.5
SyrianArabRepublic,38.6,122.3,153,132.7,84.8,31,5.5
Turkey,26.6,94.4,130.1,102.6,51.8,9.1,1.5
UnitedArabEmirates,6.5,49.7,77,77.8,53,17.9,2.1
Yemen,60.4,169.3,178.7,155.7,119.5,62.1,21.8
CentralandSouthernAsia,26.2,157.5,157.9,91.1,34.5,11.1,3.5
CentralAsia,30.8,196.2,169,100.4,44,9.2,0.5
Kazakhstan,29.8,161,160.3,116.8,67.2,16.8,1
Kyrgyzstan,32.8,189.5,167.5,119.7,70.9,18.8,0.9
Tajikistan,57.1,301.3,207.6,110,41.1,4.5,0
Turkmenistan,24.4,161.6,188.8,124.9,48,8.7,0.7
Uzbekistan,23.8,189.4,160.1,81.3,26.8,4.3,0.2
