,contact_1,contact_2,contact_3,contact_4,contact_5,contact_6,contact_7,contact_8,contact_9,contact_10,contact_11,contact_12,contact_13,contact_14,contact_15,contact_16,contact_total
infected_1,1.409660734,0.686480509,0.357018319,0.242712627,0.482337253,0.737163057,0.87653289,0.835038195,0.51272059,0.289845635,0.251936429,0.247876411,0.155782069,0.101543632,0.058657111,0.034078121,7.279383583
infected_2,0.564961488,6.220656672,0.977717231,0.311718215,0.221258665,0.512952303,0.816633372,0.931888052,0.810165157,0.358500208,0.189689211,0.199838123,0.143450447,0.088835115,0.040964291,0.033168593,12.42239714
infected_3,0.227455637,1.739923887,7.654042907,0.853777193,0.375956494,0.307840328,0.464518934,0.783600937,0.975627675,0.53211902,0.232408552,0.145894482,0.08082536,0.07334173,0.052479592,0.041222578,14.54103531
infected_4,0.151085293,0.396556301,3.069894232,11.83860553,1.759959242,0.791935997,0.592447954,0.914793532,1.154841032,1.055145887,0.471461276,0.223207432,0.093076177,0.055412415,0.030613558,0.022814113,22.62184997
infected_5,0.345659387,0.282684561,0.384565043,3.187983652,5.994006588,2.288190852,1.3594544,1.240314179,1.159749388,1.391914075,0.850859126,0.494830107,0.152951438,0.058507457,0.060539857,0.051910457,19.30412057
infected_6,0.606603423,0.361461312,0.205135994,0.913487821,2.55877379,3.720258012,1.888081871,1.539968689,1.314116312,1.104547145,0.95862001,0.558575725,0.196576882,0.061523371,0.028330857,0.024837798,16.04089901
infected_7,0.657723451,1.004297984,0.705934371,0.511961989,1.185136135,1.851014714,2.759073093,1.931609531,1.475648223,1.107291518,0.77157222,0.612878697,0.254289968,0.08817313,0.044098216,0.037262368,14.99796561
infected_8,0.748033776,1.278345531,1.103152617,0.847316565,0.897123339,1.515701236,1.864462489,3.251083443,2.228974419,1.371195376,0.866422328,0.556912267,0.319926394,0.17758614,0.095991351,0.03458992,17.15681719
infected_9,0.509843919,1.019329337,1.31591633,1.560976062,1.181568269,1.353797836,1.702658367,2.084248478,3.188378101,1.775486909,1.09009508,0.464598559,0.275285385,0.1513803,0.094434636,0.045621935,17.8136195
infected_10,0.3126169,0.779069452,0.9033249,1.953390968,1.165707889,1.139248335,1.259371654,1.539044415,1.702010397,2.219038806,1.101921698,0.551807158,0.204803623,0.097038714,0.083753195,0.084406245,15.09655435
infected_11,0.27709757,0.611955803,0.837389676,1.172413768,1.024340652,1.276968953,1.122891684,1.135415445,1.532594298,1.616031724,1.488439311,0.783851708,0.236205267,0.080326019,0.05492656,0.056416632,13.30726507
infected_12,0.651590906,1.003204493,0.801941175,1.070834904,0.929663787,1.409211684,1.426676532,1.1562625,1.294618008,1.06007667,1.129654682,1.437239862,0.498188774,0.191972301,0.085423268,0.068427176,14.21498672
infected_13,0.571529997,0.582261329,0.395909391,0.567142761,0.520224599,0.723670242,0.838930044,0.945150458,0.763687671,0.609405729,0.481744393,0.670460438,0.773458728,0.304053265,0.140601467,0.054403028,8.94263354
infected_14,0.341330959,0.53173457,0.444309916,0.244510406,0.313675358,0.392671734,0.571979401,0.674224548,0.594880873,0.334994043,0.258268072,0.381219367,0.370190282,0.605110473,0.164632617,0.064720702,6.28845332
infected_15,0.159650711,0.473364574,0.434556362,0.397700471,0.188200925,0.303993943,0.27699432,0.568439941,0.615435808,0.482654242,0.284560314,0.265444152,0.365350583,0.332898425,0.467307476,0.155013854,5.7715661
infected_16,0.275816056,0.387142437,0.5705834,0.47731449,0.181625877,0.18337085,0.25415144,0.392035411,0.440324034,0.465608349,0.391784018,0.242056429,0.139965426,0.198906419,0.157448406,0.234720425,4.992853468
