,contact_1,contact_2,contact_3,contact_4,contact_5,contact_6,contact_7,contact_8,contact_9,contact_10,contact_11,contact_12,contact_13,contact_14,contact_15,contact_16,contact_total
infected_1,0.502451855,0.393196538,0.220492733,0.114648032,0.213230288,0.383460062,0.462500819,0.421272114,0.206405934,0.07465477,0.081256415,0.055772248,0.044685276,0.015880871,0.007117762,0.010883312,3.207909029
infected_2,0.23860502,0.712759828,0.372831201,0.151236511,0.053579108,0.209409181,0.446001405,0.462102484,0.352683147,0.125818344,0.059772136,0.058400224,0.03339426,0.017723281,0.008690903,0.010613121,3.313620154
infected_3,0.13880461,0.376759775,1.137837012,0.346709138,0.071617307,0.060034153,0.167949066,0.369237596,0.436204552,0.190192746,0.076384438,0.026793225,0.01575774,0.018039527,0.015012655,0.010195967,3.457529507
infected_4,0.087699892,0.162751718,0.421698097,1.104892325,0.232265243,0.074346103,0.044946581,0.231212435,0.401763469,0.399998863,0.202171992,0.057925037,0.024411324,0.015082487,0.008035041,0.008472456,3.477673063
infected_5,0.226236012,0.122531215,0.142673133,0.512427072,1.371705986,0.368526074,0.082723181,0.038569948,0.188934724,0.455157178,0.311159517,0.14034998,0.034353125,0.008461093,0.008661361,0.01294392,4.025413519
infected_6,0.439712893,0.184247354,0.071262156,0.128118714,0.324083568,0.950746758,0.225472061,0.04470752,0.025906777,0.116857381,0.238202788,0.143796267,0.065589414,0.018990968,0.003565593,0.011831111,2.993091323
infected_7,0.486177091,0.570075802,0.301698958,0.063516139,0.092068347,0.253911341,0.788186183,0.233166161,0.077010338,0.026766134,0.05849728,0.089197172,0.081764301,0.018166354,0.010169362,0.007092649,3.157463612
infected_8,0.553044585,0.861472794,0.781849353,0.35416204,0.055580469,0.068669745,0.228047804,0.973953232,0.208835602,0.055957265,0.034641543,0.037903912,0.069380653,0.04499021,0.021561451,0.00640075,4.356451408
infected_9,0.370497829,0.713614055,0.924691482,0.711332309,0.211383998,0.069283121,0.136265389,0.250789839,0.899429261,0.209926129,0.069879896,0.017541835,0.049973768,0.05157699,0.021240044,0.016038256,4.723464201
infected_10,0.208869906,0.425165279,0.613227547,0.831990252,0.497901479,0.178279197,0.057949801,0.128654856,0.216685843,0.788787955,0.204752561,0.046366566,0.024223247,0.019911552,0.018725824,0.036354675,4.29784654
infected_11,0.21908936,0.190640612,0.306343067,0.359925973,0.36091717,0.254824508,0.111346774,0.049026266,0.086757103,0.156085973,0.455748919,0.121363582,0.026404835,0.009892986,0.009936135,0.027386985,2.745690248
infected_12,0.513982294,0.524298808,0.333403507,0.416965545,0.372936969,0.476168057,0.390592453,0.135506624,0.072801433,0.1618376,0.250191143,0.620790571,0.156506713,0.056218601,0.011728887,0.029771877,4.523701082
infected_13,0.489331209,0.454116792,0.294267138,0.267630776,0.191594653,0.273218493,0.360698343,0.273826291,0.129182319,0.066081953,0.107351806,0.196622476,0.466736419,0.119346143,0.022945909,0.007140767,3.720091487
infected_14,0.300018493,0.449923196,0.399913442,0.200602184,0.14502266,0.176184242,0.294534144,0.384775392,0.285274358,0.093962601,0.084233776,0.109670803,0.144648057,0.415374185,0.065123164,0.014252824,3.563513521
infected_15,0.145263833,0.443253464,0.390950564,0.287356451,0.064329068,0.155155222,0.127548669,0.311990501,0.280003065,0.2246746,0.119202719,0.065615802,0.094757261,0.109282826,0.266812675,0.066419905,3.152616625
infected_16,0.254572524,0.344635529,0.53890775,0.433924909,0.11871411,0.106559549,0.126086494,0.269027596,0.308442471,0.308768865,0.31492335,0.140270731,0.053698486,0.09421629,0.069093984,0.177352954,3.659195592
