,contact_1,contact_2,contact_3,contact_4,contact_5,contact_6,contact_7,contact_8,contact_9,contact_10,contact_11,contact_12,contact_13,contact_14,contact_15,contact_16,contact_total
infected_1,0.466033163,0.250960098,0.129031039,0.014115802,0.010682714,0.036358329,0.330153195,0.822901305,0.529118018,0.05140609,0.021180691,0.022249988,0.038333825,0.035398862,0.008292305,0.028366991,2.794582415
infected_2,0.150190758,0.444959342,0.297744104,0.062155059,0.040523463,0.038279561,0.179978604,0.467262228,0.99049804,0.26474658,0.034051061,0.04759412,0.018474285,0.028897842,0.015922608,0.052219979,3.133497634
infected_3,0.076307146,0.438942411,2.24161448,0.189485695,0.083669198,0.01962046,0.044139867,0.224320316,0.644425154,0.337626885,0.172215656,0.022914614,0.006599913,0.018899353,0.050686788,0.041780053,4.613247989
infected_4,0.027392722,0.101393362,0.403337048,2.267135999,0.201574507,0.046833249,0.020743838,0.068908389,0.288205079,0.681675572,0.483802922,0.068215928,0.002865021,0.003091252,0.013661596,0.0156929,4.694529384
infected_5,0.008196918,0.074181151,0.061482151,0.29381184,1.144180496,0.118105001,0.018123187,3.62E-07,0.041656275,0.545925034,0.429287352,0.257848421,0.039201443,0.005806745,0.009544231,0.059069003,3.10641961
infected_6,0.000589036,0.027002561,0.040992191,0.073898273,0.314661795,1.335296616,0.131067643,0.022626939,0.016978911,0.127615167,0.350399341,0.320658929,0.250266722,0.039522565,0.008001293,0.020194717,3.079772699
infected_7,0.382123593,0.294277387,0.051618782,0.017103055,0.012720133,0.239853271,1.330141669,0.179008231,0.063567259,0.015858726,0.057914877,0.153532075,0.238024128,0.072694227,0.032426483,0.032819481,3.173683377
infected_8,0.561730682,0.701980255,0.250860297,0.065372504,0.002127398,0.00188886,0.138594157,1.699194704,0.27539286,0.030791399,0.005804526,0.004486894,0.11938541,0.095138723,0.027953122,0.003093058,3.983794849
infected_9,0.365338243,0.448230379,0.491043826,0.243606159,0.034360487,0.005312437,0.02863239,0.154632211,1.33161289,0.115490671,0.030735871,0.014436676,0.015517238,0.029388602,0.014589232,0.0315968,3.354524112
infected_10,0.038011601,0.287201262,0.214400967,0.393924135,0.222184338,0.024855273,0.001079262,0.041954912,0.148423905,1.231635264,0.164794705,0.038175314,0.007144162,0.001566165,0.010699614,0.059313129,2.885364008
infected_11,0.020425787,0.044437737,0.166793654,0.3858104,0.306805281,0.046171831,0.017360085,0.002336298,0.028061447,0.18369585,0.909048403,0.116395715,0.002574221,0.00209729,0.005204175,0.101722866,2.33894104
infected_12,2.85E-13,0.036450599,0.047216824,0.005198522,0.297666585,0.216768972,0.138115921,0.008811166,0.030386321,0.095910029,0.121262607,1.062271554,0.065199945,0.021386338,0.004675704,0.07293246,2.224253547
infected_13,0.133525634,0.035731056,0.028213416,0.017676731,0.083552139,0.185888669,0.269961159,0.137741403,0.041158732,0.02537989,0.040075527,0.240280699,0.813639422,0.094523649,0.009910203,0.02463944,2.181897769
infected_14,0.07922329,0.049696068,0.029161077,0.014373847,0.027004806,0.067965444,0.460226552,0.248304162,0.077657438,0.034961866,0.031448279,0.102157991,0.257273847,1.390871331,0.074585245,0.04387591,2.988787153
infected_15,0.013863729,0.044619471,0.163746,0.06688666,0.113892402,0.038313238,0.092469137,0.26596846,0.425657985,0.163870883,0.04784726,0.033086522,0.074748611,0.082453679,1.1776403,0.162502162,2.967566499
infected_16,0.107896604,0.129962982,3.12E-06,0.257945499,5.60E-06,3.06E-09,0.000575112,0.09921893,0.301629378,0.091798289,8.92E-07,0.669118259,0.001916007,0.034618327,0.064576888,0.00012857,1.75939446
