Afghanistan,565.377,556.096,548.497,542.294,535.188,532.705,530.275,527.653,524.593,521.293,517.947,512.105,502.639,490.628,478.241,464.998,451.824,439.382,427.167,414.283,401.234,386.67,369.934,351.917,334.23,316.628,300.112,285.37,272.051,258.895,245.888,234.724,226.035,219.031,212.359,206.366,199.691,191.543,182.558,174.169,166.097,158.411,151.291,144.63,138.104,131.735,125.799,120.387,115.38,110.569,105.997,101.494,96.956,92.453,88.151,84.004,80.035,76.27,72.673,69.203,65.889,62.587,59.231,55.893,52.641,49.37,46.538,44.353,42.549,40.747,39.135,36.88,33.566,29.625,25.887,22.161,18.94,16.545,14.726,12.912,11.214,9.638,8.131,6.724,5.488,4.396,3.469,2.722,2.125,1.577,1.185,0.927,0.682,0.445,0.284,0.218,0.171,0.118,0.06,0.025,0.027,,
Africa,20016.294,19749.455,19447.098,19113.142,18805.08,18395.212,17972.337,17539.453,17099.575,16654.137,16204.586,15761.749,15331.77,14912.956,14497.316,14086.25,13690.781,13315.56,12957.217,12607.146,12266.357,11938.423,11624.004,11321.68,11027.47,10739.928,10465.299,10205.566,9956.302,9710.348,9468.258,9223.781,8972.784,8716.789,8463.96,8215.63,7953.853,7671.468,7377.375,7087.897,6800.046,6524.344,6267.785,6026.096,5787.645,5554.346,5331.58,5120.739,4920.309,4726.519,4539.067,4360.783,4192.341,4031.829,3876.265,3725.758,3577.654,3430.169,3283.822,3141.219,3002.245,2862.319,2719.544,2575.741,2434.781,2296.083,2160.086,2027.467,1898.051,1771.218,1647.375,1526.485,1408.545,1293.959,1183.193,1076.285,974.081,877.092,785.142,697.705,615.051,537.194,464.119,396.089,333.086,274.821,223.399,179.743,142.831,106.053,78.137,61.406,45.55,30.133,19.382,14.72,11.633,8.189,4.359,2.041,2.561,,
African Group,20001.061,19733.983,19431.459,19097.397,18789.183,18379.386,17956.605,17523.835,17084.085,16638.793,16189.418,15746.716,15316.8,14898.008,14482.407,14071.377,13676.003,13300.974,12942.88,12593.048,12252.502,11924.792,11610.565,11308.409,11014.369,10726.998,10452.509,10192.866,9943.659,9697.761,9455.708,9211.289,8960.384,8704.499,8451.776,8203.561,7941.854,7659.467,7365.333,7075.825,6787.934,6512.276,6255.895,6014.468,5776.274,5543.258,5320.705,5109.957,4909.55,4715.812,4528.416,4350.26,4182.056,4021.856,3866.6,3716.412,3568.635,3421.479,3275.463,3133.208,2994.597,2855.016,2712.548,2569.033,2428.364,2289.944,2154.275,2022.064,1893.099,1766.702,1643.292,1522.769,1405.09,1290.692,1180.117,1073.387,971.351,874.53,782.745,695.457,612.94,535.227,462.314,394.456,331.615,273.505,222.231,178.714,141.931,105.286,77.486,60.84,45.066,29.733,19.03,14.396,11.354,7.975,4.232,1.954,2.443,,
African Union,20006.383,19739.485,19437.074,19103.067,18794.922,18385.035,17962.144,17529.249,17089.366,16643.931,16194.401,15751.581,15321.609,14902.804,14487.189,14076.155,13680.779,13305.743,12947.643,12597.815,12257.272,11929.598,11615.452,11313.403,11019.464,10732.194,10457.778,10198.164,9948.953,9703.047,9460.982,9216.523,8965.546,8709.565,8456.736,8208.402,7946.581,7664.093,7369.864,7080.251,6792.249,6516.469,6259.952,6018.378,5780.036,5546.87,5324.163,5113.257,4912.689,4718.792,4531.239,4352.929,4184.578,4024.238,3868.844,3718.515,3570.62,3423.38,3277.3,3134.98,2996.312,2856.649,2714.058,2570.395,2429.586,2291.029,2155.232,2022.908,1893.843,1767.347,1643.841,1523.238,1405.501,1291.061,1180.449,1073.687,971.622,874.771,782.956,695.644,613.107,535.374,462.441,394.563,331.704,273.579,222.291,178.763,141.971,105.317,77.511,60.86,45.081,29.743,19.037,14.401,11.358,7.978,4.233,1.955,2.444,,
African Union: Central Africa,2759.26,2693.914,2627.854,2561.185,2500.1,2431.305,2362.515,2293.782,2225.154,2156.963,2089.543,2021.545,1952.46,1883.178,1815.314,1748.797,1684.27,1622.297,1562.858,1504.951,1448.272,1396.299,1350.493,1309.186,1269.095,1230.693,1192.873,1154.688,1116.519,1079.767,1044.251,1008.416,971.659,934.513,898.27,862.852,827.735,792.848,758.494,725.017,692.317,661.385,632.739,605.988,580.083,555.082,531.626,509.878,489.518,470.034,451.504,433.38,415.319,397.509,380.432,363.938,348.003,332.643,317.779,303.303,289.233,275.346,261.514,247.818,234.473,221.448,208.635,196.009,183.605,171.49,159.656,148.132,136.932,126.058,115.525,105.384,95.444,85.626,76.054,66.955,58.301,50.254,42.922,36.258,30.06,24.316,19.374,15.365,12.129,9.002,6.679,5.221,3.841,2.509,1.58,1.186,0.927,0.647,0.337,0.147,0.17,,
African Union: Eastern Africa,5970.865,5850.954,5736.761,5627.578,5523.844,5424.965,5328.198,5232.892,5138.403,5044.819,4952.233,4856.292,4754.861,4649.519,4543.817,4436.862,4329.221,4221.48,4112.993,4003.556,3894.415,3779.868,3657.437,3530.458,3405.063,3280.439,3159.773,3045.41,2936.356,2828.255,2720.759,2621.648,2533.974,2454.012,2375.752,2301.303,2222.147,2133.725,2040.339,1950.595,1862.454,1779.998,1706.029,1638.246,1571.589,1507.122,1444.099,1381.664,1320.456,1261.866,1205.49,1151.791,1101.082,1052.98,1006.499,961.517,918.892,878.858,840.813,804.04,768.81,733.13,695.967,658.19,621.534,585.453,551.053,518.991,488.554,458.629,429.736,399.901,368.125,335.5,304.154,273.726,245.077,218.866,194.735,171.587,149.553,129.494,111.687,95.828,81.285,68.146,56.267,45.49,35.869,26.329,19.179,15.003,11.114,7.373,4.812,3.687,2.913,2.045,1.073,0.508,0.64,,
African Union: Northern Africa,2204.015,2278.642,2319.996,2331.922,2347.569,2291.672,2223.648,2146.697,2064.023,1975.73,1881.925,1801.291,1743.222,1701.631,1660.216,1621.25,1592.578,1576.167,1569.334,1566.377,1567.165,1572.983,1583.472,1597.103,1611.973,1627.581,1641.491,1652,1659.021,1664.498,1668.448,1664.452,1649.633,1626.469,1601.127,1573.336,1540.03,1500.61,1456.813,1411.468,1364.607,1318.111,1273.404,1230.363,1186.924,1142.888,1104.098,1073.064,1047.256,1021.532,996.791,971.486,944.295,915.92,888.374,861.212,833.562,805.174,776.159,747.053,717.962,687.734,655.921,623.117,590.534,558.13,525.903,494.038,462.696,431.902,401.718,372.89,345.813,320.32,295.557,271.359,249.577,230.936,214.485,198.755,184.29,168.699,150.73,131.566,113.711,96.741,81.111,67.32,55.142,42.265,31.826,25.574,19.424,13.225,8.883,6.9,5.496,3.919,2.17,1.082,1.429,,
African Union: Southern Africa,2553.703,2542.548,2525.207,2502.125,2472.927,2439.757,2402.55,2361.621,2317.289,2270.518,2222.275,2169.635,2111.625,2050.5,1989.516,1928.048,1871.141,1821.656,1777.716,1734.234,1691.802,1653.244,1619.319,1588.929,1559.418,1530.35,1503.989,1480.876,1459.315,1437.472,1416.208,1389.1,1352.91,1310.481,1268.467,1226.232,1182.14,1136.277,1089.545,1042.549,994.896,951.035,913.164,879.435,846.021,813.949,781.565,747.742,713.596,681.055,649.373,620.897,596.872,575.968,555.567,536.141,516.634,496.242,475.43,455.456,436.067,416.761,397.412,378.098,359.148,340.654,321.897,302.601,283.169,264.151,245.293,227.843,212.433,198.439,184.692,171.522,158.047,143.741,129.091,115.194,101.932,89.171,76.995,65.489,54.613,44.321,35.346,28.028,22.062,15.931,11.323,8.739,6.303,3.954,2.233,1.505,1.159,0.782,0.373,0.123,0.116,,
African Union: Western Africa,6518.54,6373.427,6227.256,6080.257,5950.482,5797.336,5645.233,5494.257,5344.497,5195.901,5048.425,4902.818,4759.441,4617.976,4478.326,4341.198,4203.569,4064.143,3924.742,3788.697,3655.618,3527.204,3404.731,3287.727,3173.915,3063.131,2959.652,2865.19,2777.742,2693.055,2611.316,2532.907,2457.37,2384.09,2313.12,2244.679,2174.529,2100.633,2024.673,1950.622,1877.975,1805.94,1734.616,1664.346,1595.419,1527.829,1462.775,1400.909,1341.863,1284.305,1228.081,1175.375,1127.01,1081.861,1037.972,995.707,953.529,910.463,867.119,825.128,784.24,743.678,703.244,663.172,623.897,585.344,547.744,511.269,475.819,441.175,407.438,374.472,342.198,310.744,280.521,251.696,223.477,195.602,168.591,143.153,119.031,97.756,80.107,65.422,52.035,40.055,30.193,22.56,16.769,11.79,8.504,6.323,4.399,2.682,1.529,1.123,0.863,0.585,0.28,0.095,0.089,,
African, Caribbean and Pacific (ACP) Group of States,18186.257,17847.691,17505.968,17161.26,16839.487,16484.273,16127.976,15770.49,15411.709,15052.868,14695.225,14331.871,13959.995,13583.546,13209.933,12838.43,12472.021,12113.207,11761.359,11413.93,11072.092,10737.437,10410.702,10092.325,9780.641,9474.386,9183.614,8912.657,8656.417,8404.416,8157.492,7914.781,7674.357,7435.76,7202.694,6977.116,6741.23,6487.421,6224.512,5968.119,5714.078,5476.926,5265.139,5071.641,4881.098,4696.906,4515.677,4334.308,4155.304,3983.253,3815.966,3659.159,3515.695,3381.906,3251.474,3125.95,2999.21,2867.669,2734.109,2604.711,2478.033,2355.04,2236.757,2122.208,2009.546,1899.327,1790.123,1681.098,1573.072,1467.803,1365.053,1264.943,1167.731,1073.415,982.091,894.203,808.492,724.486,643.142,565.883,492.411,424.776,364.116,309.679,259.185,212.694,172.263,138.523,110.507,83.327,63.238,50.517,38.244,26.146,17.669,13.924,11.254,8.233,4.83,2.728,4.803,
